repo_id,instruction_file,reference,extracted_reference,reference_type,extraction_rule,confidence,resolved_path,resolution_status,exists_in_head,status,misguidance_category,historical_existence,counts_toward_primary_misguidance,parser_version,extraction_mode
cheat/cheat,CLAUDE.md,cmd_*.go,cmd_*.go,code_span,code_span,medium,cmd_*.go,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
cheat/cheat,CLAUDE.md,generate.go,generate.go,code_span,code_span,medium,generate.go,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/config,internal/config,code_span,code_span,medium,internal/config/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/config,internal/config,explicit_path,explicit_path,high,internal/config/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/cheatpath,internal/cheatpath,code_span,code_span,medium,internal/cheatpath/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/cheatpath,internal/cheatpath,explicit_path,explicit_path,high,internal/cheatpath/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/sheet,internal/sheet,code_span,code_span,medium,internal/sheet/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/sheet,internal/sheet,explicit_path,explicit_path,high,internal/sheet/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/sheets,internal/sheets,code_span,code_span,medium,internal/sheets/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/sheets,internal/sheets,explicit_path,explicit_path,high,internal/sheets/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/display,internal/display,code_span,code_span,medium,internal/display/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/display,internal/display,explicit_path,explicit_path,high,internal/display/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/installer,internal/installer,code_span,code_span,medium,internal/installer/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/installer,internal/installer,explicit_path,explicit_path,high,internal/installer/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,conf.yml,conf.yml,code_span,code_span,medium,conf.yml,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/repo,internal/repo,code_span,code_span,medium,internal/repo/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/repo,internal/repo,explicit_path,explicit_path,high,internal/repo/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,.cheat,.cheat,code_span,code_span,medium,cheat,not_in_head,False,stale,stale_path,existed_before,True,v2,misguidance_v2
cheat/cheat,CLAUDE.md,.git,.git,code_span,code_span,medium,git,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/config/paths.go,internal/config/paths.go,code_span,code_span,medium,internal/config/paths.go,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal/config/paths.go,internal/config/paths.go,explicit_path,explicit_path,high,internal/config/paths.go,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,mocks,mocks,code_span,code_span,low,mocks/,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,packages,packages,directory_mention,common_directory_name,medium,packages/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,node_modules/.bin/<tool>,node_modules/.bin/<tool>,code_span,code_span,medium,node_modules/.bin/<tool,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,script/lint.js,script/lint.js,code_span,code_span,medium,script/lint.js,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,node_modules/.bin/,node_modules/.bin/,explicit_path,explicit_path,medium,node_modules/.bin/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,script/lint.js,script/lint.js,explicit_path,explicit_path,high,script/lint.js,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,backend,backend,directory_mention,common_directory_name,medium,backend/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,API,API,directory_mention,common_directory_name,medium,api/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,modules,modules,directory_mention,common_directory_name,medium,modules/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,services,services,directory_mention,common_directory_name,medium,services/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,TypeScript/JavaScript,TypeScript/JavaScript,explicit_path,explicit_path,medium,TypeScript/JavaScript,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,lib,lib,directory_mention,common_directory_name,medium,lib/,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,docs,docs,directory_mention,common_directory_name,medium,docs/,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,@electron/build-tools,@electron/build-tools,code_span,code_span,medium,@electron/build-tools,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,electron/build-tools,electron/build-tools,explicit_path,explicit_path,medium,electron/build-tools,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,~/.electron_build_tools/configs/,~/.electron_build_tools/configs/,code_span,code_span,medium,~/.electron_build_tools/configs/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,Fetch/update,Fetch/update,explicit_path,explicit_path,medium,Fetch/update,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,patches/config.json,patches/config.json,code_span,code_span,medium,patches/config.json,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,patches/config.json,patches/config.json,explicit_path,explicit_path,high,patches/config.json,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,Creating/modifying,Creating/modifying,explicit_path,explicit_path,medium,Creating/modifying,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,../,../,code_span,code_span,medium,,unresolved,False,unresolved,unresolved_reference,never_existed,False,v2,misguidance_v2
electron/electron,CLAUDE.md,Make changes,Make changes,command,make_command_to_makefile,medium,Makefile,not_in_head,False,unknown_command,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,electron/electron,electron/electron,explicit_path,explicit_path,medium,electron/electron,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,spec/,spec/,code_span,code_span,medium,spec/,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,build/args/,build/args/,code_span,code_span,medium,build/args/,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,build/args/,build/args/,explicit_path,explicit_path,high,build/args/,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,testing.gn,testing.gn,code_span,code_span,medium,testing.gn,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,Debug/testing,Debug/testing,explicit_path,explicit_path,medium,Debug/testing,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,release.gn,release.gn,code_span,code_span,medium,release.gn,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,all.gn,all.gn,code_span,code_span,medium,all.gn,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,BUILD.gn,BUILD.gn,code_span,code_span,low,BUILD.gn,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,buildflags/buildflags.gni,buildflags/buildflags.gni,code_span,code_span,medium,buildflags/buildflags.gni,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,buildflags/buildflags.gni,buildflags/buildflags.gni,explicit_path,explicit_path,high,buildflags/buildflags.gni,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,roller/chromium/main,roller/chromium/main,code_span,code_span,medium,roller/chromium/main,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,roller/chromium/main,roller/chromium/main,explicit_path,explicit_path,medium,roller/chromium/main,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,roller/node/main,roller/node/main,code_span,code_span,medium,roller/node/main,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,roller/node/main,roller/node/main,explicit_path,explicit_path,medium,roller/node/main,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,internal,internal,directory_mention,common_directory_name,medium,internal/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,electron/electron,electron/electron,code_span,code_span,medium,electron/electron,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,semver/none,semver/none,code_span,code_span,medium,semver/none,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,semver/none,semver/none,explicit_path,explicit_path,medium,semver/none,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,semver/patch,semver/patch,code_span,code_span,medium,semver/patch,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,semver/patch,semver/patch,explicit_path,explicit_path,medium,semver/patch,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,semver/minor,semver/minor,code_span,code_span,medium,semver/minor,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,semver/minor,semver/minor,explicit_path,explicit_path,medium,semver/minor,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,semver/major,semver/major,code_span,code_span,medium,semver/major,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,semver/major,semver/major,explicit_path,explicit_path,medium,semver/major,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,target/{N}-x-y,target/{N}-x-y,code_span,code_span,medium,target/{N}-x-y,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,target/*,target/*,code_span,code_span,medium,target/*,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,target/*,target/*,explicit_path,explicit_path,medium,target/*,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,older/EOL,older/EOL,explicit_path,explicit_path,medium,older/EOL,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,.oxlintrc.json,.oxlintrc.json,code_span,code_span,low,oxlintrc.json,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,JS/TS/MJS,JS/TS/MJS,explicit_path,explicit_path,medium,JS/TS/MJS,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,api,api,directory_mention,common_directory_name,medium,api/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,filenames.gni,filenames.gni,code_span,code_span,low,filenames.gni,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,package.json,package.json,code_span,code_span,high,package.json,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,package.json,package.json,config_file,known_config_filename,high,package.json,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,patches/chromium/*.patch,patches/chromium/*.patch,explicit_path,explicit_path,medium,patches/chromium/*.patch,not_in_head,False,stale,stale_path,existed_before,True,v2,misguidance_v2
electron/electron,CLAUDE.md,.github/workflows/,.github/workflows/,code_span,code_span,medium,github/workflows/,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,.github/workflows/,.github/workflows/,explicit_path,explicit_path,high,github/workflows/,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,CLAUDE.md,build.yml,build.yml,code_span,code_span,medium,build.yml,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,pipeline-electron-lint.yml,pipeline-electron-lint.yml,code_span,code_span,medium,pipeline-electron-lint.yml,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,pipeline-segment-electron-test.yml,pipeline-segment-electron-test.yml,code_span,code_span,medium,pipeline-segment-electron-test.yml,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,renamed/moved,renamed/moved,explicit_path,explicit_path,medium,renamed/moved,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,"grep -l ""filename"" patches/chromium/*.patch","grep -l ""filename"" patches/chromium/*.patch",code_span,code_span,medium,"grep -l ""filename"" patches/chromium/*.patch",not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,CLAUDE.md,reclient/siso,reclient/siso,explicit_path,explicit_path,medium,reclient/siso,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,docs/development/api-history-migration-guide.md,docs/development/api-history-migration-guide.md,code_span,code_span,medium,docs/development/api-history-migration-guide.md,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,docs/development/api-history-migration-guide.md,docs/development/api-history-migration-guide.md,explicit_path,explicit_path,high,docs/development/api-history-migration-guide.md,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,docs,docs,directory_mention,common_directory_name,medium,docs/,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,api,api,directory_mention,common_directory_name,medium,docs/api/,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,docs/development/style-guide.md,docs/development/style-guide.md,code_span,code_span,medium,docs/development/style-guide.md,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,docs/development/style-guide.md,docs/development/style-guide.md,explicit_path,explicit_path,high,docs/development/style-guide.md,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,API,API,directory_mention,common_directory_name,medium,docs/api/,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,docs/api-history.schema.json,docs/api-history.schema.json,code_span,code_span,medium,docs/api-history.schema.json,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,docs/api-history.schema.json,docs/api-history.schema.json,explicit_path,explicit_path,high,docs/api-history.schema.json,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,"git log --all --reverse --oneline -S ""methodName"" -- docs/api/file.md","git log --all --reverse --oneline -S ""methodName"" -- docs/api/file.md",code_span,code_span,medium,"git log --all --reverse --oneline -S ""methodName"" -- docs/api/file.md",not_in_head,False,doc_reference,stale_doc_reference,never_existed,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,docs/api/file.md,docs/api/file.md,explicit_path,explicit_path,medium,docs/api/file.md,not_in_head,False,doc_reference,stale_doc_reference,existed_before,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,git log --reverse -L :FunctionName:path/to/source.cc,git log --reverse -L :FunctionName:path/to/source.cc,code_span,code_span,medium,git log --reverse -L :FunctionName:path/to/source.cc,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,path/to/source.cc,path/to/source.cc,explicit_path,explicit_path,medium,path/to/source.cc,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,gh pr view <number> --repo electron/electron --json baseRefName,gh pr view <number> --repo electron/electron --json baseRefName,code_span,code_span,medium,gh pr view <number> --repo electron/electron --json baseRefName,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,electron/electron,electron/electron,explicit_path,explicit_path,medium,electron/electron,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,docs/breaking-changes.md,docs/breaking-changes.md,code_span,code_span,medium,docs/breaking-changes.md,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,docs/breaking-changes.md,docs/breaking-changes.md,explicit_path,explicit_path,high,docs/breaking-changes.md,resolved,True,valid,,,False,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,deprecations/removals,deprecations/removals,explicit_path,explicit_path,medium,deprecations/removals,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,ipcMain.on,ipcMain.on,code_span,code_span,medium,ipcMain.on,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,ipcRenderer.send,ipcRenderer.send,code_span,code_span,medium,ipcRenderer.send,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
electron/electron,docs/CLAUDE.md,breaking-changes.md,breaking-changes.md,code_span,code_span,medium,breaking-changes.md,not_in_head,False,doc_reference,stale_doc_reference,never_existed,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,[.claude/python_packages.md](./.claude/python_packages.md),[.claude/python_packages.md](./.claude/python_packages.md),markdown_link,markdown_link,medium,claude/python_packages.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,.claude/python_packages.md,.claude/python_packages.md,explicit_path,explicit_path,high,claude/python_packages.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,./.claude/python_packages.md,./.claude/python_packages.md,explicit_path,explicit_path,high,claude/python_packages.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,packages,packages,directory_mention,common_directory_name,medium,packages/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,[.claude/dev_workflow.md](./.claude/dev_workflow.md),[.claude/dev_workflow.md](./.claude/dev_workflow.md),markdown_link,markdown_link,medium,claude/dev_workflow.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,.claude/dev_workflow.md,.claude/dev_workflow.md,explicit_path,explicit_path,high,claude/dev_workflow.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,./.claude/dev_workflow.md,./.claude/dev_workflow.md,explicit_path,explicit_path,high,claude/dev_workflow.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,[.claude/ui_workflow.md](./.claude/ui_workflow.md),[.claude/ui_workflow.md](./.claude/ui_workflow.md),markdown_link,markdown_link,medium,claude/ui_workflow.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,.claude/ui_workflow.md,.claude/ui_workflow.md,explicit_path,explicit_path,high,claude/ui_workflow.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,./.claude/ui_workflow.md,./.claude/ui_workflow.md,explicit_path,explicit_path,high,claude/ui_workflow.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,UI/TypeScript,UI/TypeScript,explicit_path,explicit_path,medium,UI/TypeScript,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,[.claude/coding_conventions.md](./.claude/coding_conventions.md),[.claude/coding_conventions.md](./.claude/coding_conventions.md),markdown_link,markdown_link,medium,claude/coding_conventions.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,.claude/coding_conventions.md,.claude/coding_conventions.md,explicit_path,explicit_path,high,claude/coding_conventions.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,./.claude/coding_conventions.md,./.claude/coding_conventions.md,explicit_path,explicit_path,high,claude/coding_conventions.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,make ruff,make ruff,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,[docs/docs/about/contributing.md](docs/docs/about/contributing.md),[docs/docs/about/contributing.md](docs/docs/about/contributing.md),markdown_link,markdown_link,medium,docs/docs/about/contributing.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,docs/docs/about/contributing.md,docs/docs/about/contributing.md,explicit_path,explicit_path,high,docs/docs/about/contributing.md,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,docs,docs,directory_mention,common_directory_name,medium,docs/,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,make dev_install,make dev_install,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,make pyright,make pyright,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,make quick_pyright,make quick_pyright,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,path/to/tests/,path/to/tests/,explicit_path,explicit_path,medium,path/to/tests/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,python_modules/dagster/dagster_tests/,python_modules/dagster/dagster_tests/,explicit_path,explicit_path,high,python_modules/dagster/dagster_tests/,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,python_modules,python_modules,directory_mention,common_directory_name,medium,python_modules/,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,tsgo/lint,tsgo/lint,explicit_path,explicit_path,medium,tsgo/lint,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,make generate-graphql,make generate-graphql,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,make rebuild_ui,make rebuild_ui,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,make graphql_codegen,make graphql_codegen,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,make sanity_check,make sanity_check,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,python_modules/dagster/,python_modules/dagster/,code_span,code_span,medium,python_modules/dagster/,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,python_modules/libraries/,python_modules/libraries/,code_span,code_span,medium,python_modules/libraries/,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,python_modules/dagster/,python_modules/dagster/,explicit_path,explicit_path,high,python_modules/dagster/,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,python_modules/libraries/,python_modules/libraries/,explicit_path,explicit_path,high,python_modules/libraries/,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,js_modules/,js_modules/,code_span,code_span,medium,js_modules/,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,React/TypeScript,React/TypeScript,explicit_path,explicit_path,medium,React/TypeScript,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,docs/,docs/,code_span,code_span,medium,docs/,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,Docs,Docs,directory_mention,common_directory_name,medium,docs/,resolved,True,valid,,,False,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,examples/docs_snippets/docs_snippets/intro_tutorial/basics/connecting_ops/,examples/docs_snippets/docs_snippets/intro_tutorial/basics/connecting_ops/,explicit_path,explicit_path,medium,examples/docs_snippets/docs_snippets/intro_tutorial/basics/connecting_ops/,not_in_head,False,stale,stale_directory,existed_before,True,v2,misguidance_v2
dagster-io/dagster,CLAUDE.md,examples,examples,directory_mention,common_directory_name,medium,examples/,resolved,True,valid,,,False,v2,misguidance_v2
